,coupon_exists,discount_ratio,discount_amount,product_category,conversions
0,True,,20,Smartphones,0
1,True,15%,15,camping gear,1
2,True,10%,10,T-shirts,1
3,True,30%,30,holiday dresses,1
4,True,30%,30,holiday dresses,1
5,True,25%,25,Philips Air Fryers,0
6,True,10%,10,Laptops,0
7,True,20%,20,skincare,1
8,True,15%,15,costumes and makeup,1
9,True,5%,50,Refrigerators,1
10,True,20%,20,bicycles,0
11,False,,0,jeans,1
12,True,20%,20,Sofas,0
13,True,15%,15,TVs,1
14,True,20%,20,perfumes,1
15,True,10%,10,Vacuum Cleaners,0
16,True,20%,20,textbooks,0
17,True,20%,20,toys and games,0
18,True,15%,15,Fitbit trackers,0
19,True,25%,25,beds,0
20,True,10%,0,notebooks and stationery,0
21,True,20%,20,makeup,0
22,True,10%,10,car accessories,0
23,True,0.15,15,Sneakers,0
24,False,,0,groceries,1
25,False,20%,0,fitness equipment,0
