Unnamed: 0,coupon_exists,discount_ratio,discount_amount,product_category,conversions
0,TRUE,,20,Smartphones,0
1,TRUE,15%,15,camping gear,1
2,TRUE,10%,10,T-shirts,1
3,TRUE,30%,30,holiday dresses,1
4,TRUE,30%,30,holiday dresses,1
5,TRUE,25%,25,Philips Air Fryers,0
6,TRUE,10%,10,Laptops,0
7,TRUE,20%,20,skincare,1
8,TRUE,15%,15,costumes and makeup,1
9,TRUE,5%,50,Refrigerators,1
10,TRUE,20%,20,bicycles,0
11,FALSE,,0,jeans,1
12,TRUE,20%,20,Sofas,0
13,TRUE,15%,15,TVs,1
14,TRUE,20%,20,perfumes,1
15,TRUE,10%,10,Vacuum Cleaners,0
16,TRUE,20%,20,textbooks,0
17,TRUE,20%,20,toys and games,0
18,TRUE,15%,15,Fitbit trackers,0
19,TRUE,25%,25,beds,0
20,TRUE,10%,0,notebooks and stationery,0
21,TRUE,20%,20,makeup,0
22,TRUE,10%,10,car accessories,0
23,TRUE,0.15,15,Sneakers,0
24,FALSE,,0,groceries,1
25,FALSE,20%,0,fitness equipment,0
26,FALSE,25%,12,makeup,0
27,TRUE,5%,16,Laptops,1
28,FALSE,,28,Vacuum Cleaners,0
29,FALSE,5%,34,skincare,0
30,TRUE,,7,Laptops,1
31,TRUE,25%,29,T-shirts,0
32,FALSE,10%,27,Smartphones,0
33,FALSE,10%,30,Refrigerators,1
34,FALSE,5%,16,Philips Air Fryers,1
35,FALSE,,26,Fitbit trackers,1
36,FALSE,30%,34,bicycles,0
37,FALSE,10%,38,TVs,0
38,FALSE,20%,39,Laptops,1
39,FALSE,25%,32,camping gear,1
40,FALSE,20%,14,Sneakers,1
41,FALSE,25%,31,notebooks and stationery,0
42,FALSE,,7,costumes and makeup,0
43,TRUE,20%,30,Headphones,1
44,TRUE,25%,13,jeans,1
45,TRUE,,39,skincare,1
46,FALSE,30%,5,Laptops,0
47,TRUE,30%,35,Sneakers,0
48,TRUE,5%,26,Bicycles,1
49,FALSE,20%,27,T-shirts,1
50,FALSE,15%,15,Jackets,1
51,FALSE,25%,14,textbooks,1
52,TRUE,30%,27,skincare,0
53,FALSE,25%,14,skincare,1
54,FALSE,5%,20,Bicycles,1
55,FALSE,5%,26,Shoes,0
56,TRUE,,7,groceries,0
57,FALSE,,23,Shoes,1
58,FALSE,10%,16,car accessories,0
59,FALSE,25%,25,textbooks,0
60,FALSE,20%,37,Gaming Consoles,0
61,TRUE,,38,toys and games,1
62,FALSE,10%,8,toys and games,1
63,TRUE,5%,39,textbooks,1
64,TRUE,5%,26,makeup,0
65,TRUE,20%,33,beds,1
66,FALSE,5%,18,notebooks and stationery,0
67,FALSE,30%,31,groceries,0
68,FALSE,25%,15,perfumes,1
69,FALSE,15%,33,perfumes,0
,,,,,
ß,,,,,
